Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Mo., 02.Jan. 2012 00:00;0,3;0,48;0,41;0,29
Mo., 02.Jan. 2012 00:15;0,2;0,48;0,35;0,24
Mo., 02.Jan. 2012 00:30;0,2;0,46;0,33;0,24
Mo., 02.Jan. 2012 00:45;0,19;0,46;0,34;0,23
Mo., 02.Jan. 2012 01:00;0,21;0,47;0,35;0,25
Mo., 02.Jan. 2012 01:15;0,18;0,53;0,35;0,25
Mo., 02.Jan. 2012 01:30;0,18;0,56;0,37;0,26
Mo., 02.Jan. 2012 01:45;0,2;0,47;0,34;0,24
Mo., 02.Jan. 2012 02:00;0,18;0,46;0,34;0,23
Mo., 02.Jan. 2012 02:15;0,22;0,45;0,34;0,25
Mo., 02.Jan. 2012 02:30;0,2;0,45;0,33;0,24
Mo., 02.Jan. 2012 02:45;0,18;0,53;0,36;0,25
Mo., 02.Jan. 2012 03:00;0,2;0,48;0,35;0,24
Mo., 02.Jan. 2012 03:15;0,18;0,48;0,34;0,23
Mo., 02.Jan. 2012 03:30;0,18;0,46;0,33;0,23
Mo., 02.Jan. 2012 03:45;0,17;0,46;0,32;0,22
Mo., 02.Jan. 2012 04:00;0,22;0,45;0,34;0,25
Mo., 02.Jan. 2012 04:15;0,21;0,47;0,35;0,25
Mo., 02.Jan. 2012 04:30;0,2;0,48;0,34;0,24
Mo., 02.Jan. 2012 04:45;0,18;0,48;0,34;0,23
Mo., 02.Jan. 2012 05:00;0,18;0,47;0,33;0,23
Mo., 02.Jan. 2012 05:15;0,18;0,45;0,32;0,23
Mo., 02.Jan. 2012 05:30;0,23;0,46;0,35;0,25
Mo., 02.Jan. 2012 05:45;0,18;0,46;0,33;0,23
Mo., 02.Jan. 2012 06:00;0,18;0,48;0,33;0,23
Mo., 02.Jan. 2012 06:15;0,24;0,52;0,4;0,28
Mo., 02.Jan. 2012 06:30;0,32;0,51;0,43;0,31
Mo., 02.Jan. 2012 06:45;0,31;0,46;0,39;0,29
Mo., 02.Jan. 2012 07:00;0,25;0,45;0,35;0,26
Mo., 02.Jan. 2012 07:15;0,24;0,46;0,36;0,26
Mo., 02.Jan. 2012 07:30;0,24;0,48;0,37;0,26
Mo., 02.Jan. 2012 07:45;0,25;0,57;0,44;0,3
Mo., 02.Jan. 2012 08:00;0,26;0,5;0,4;0,28
Mo., 02.Jan. 2012 08:15;0,3;0,47;0,4;0,29
Mo., 02.Jan. 2012 08:30;0,24;0,47;0,36;0,26
Mo., 02.Jan. 2012 08:45;0,24;0,48;0,37;0,26
Mo., 02.Jan. 2012 09:00;0,25;0,46;0,36;0,26
Mo., 02.Jan. 2012 09:15;0,26;0,5;0,39;0,28
Mo., 02.Jan. 2012 09:30;0,29;0,5;0,41;0,3
Mo., 02.Jan. 2012 09:45;0,29;0,47;0,4;0,29
Mo., 02.Jan. 2012 10:00;0,23;0,46;0,36;0,25
Mo., 02.Jan. 2012 10:15;0,24;0,46;0,35;0,26
Mo., 02.Jan. 2012 10:30;0,26;0,46;0,37;0,27
Mo., 02.Jan. 2012 10:45;0,25;0,51;0,4;0,28
Mo., 02.Jan. 2012 11:00;0,28;0,5;0,41;0,29
Mo., 02.Jan. 2012 11:15;0,24;0,53;0,4;0,28
Mo., 02.Jan. 2012 11:30;0,25;0,46;0,37;0,26
Mo., 02.Jan. 2012 11:45;0,25;0,46;0,36;0,26
Mo., 02.Jan. 2012 12:00;0,26;0,46;0,36;0,27
Mo., 02.Jan. 2012 12:15;0,24;0,47;0,36;0,26
Mo., 02.Jan. 2012 12:30;0,28;0,5;0,39;0,29
Mo., 02.Jan. 2012 12:45;0,24;0,53;0,41;0,28
Mo., 02.Jan. 2012 13:00;0,24;0,46;0,37;0,26
