Zeitstempel;"Verbrauch Gebaeude 1 Etage 0 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 0 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 1 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 1 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2  Strom
Verbrauchswert (Wh)";"Verbrauch Gebaeude 1 Etage 2  Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
 Werttyp";
Do., 17.Apr. 2014 19:00;0,97;;0,53;;2710;;2,66;;
Do., 17.Apr. 2014 19:15;0,87;;0,77;;2630;;2,52;;
Do., 17.Apr. 2014 19:30;0,89;;0,79;;2630;;2,5;;
Do., 17.Apr. 2014 19:45;1,11;;0,67;;2610;;2,5;;
Do., 17.Apr. 2014 20:00;0,16;;0,54;;2610;;2,5;;
Do., 17.Apr. 2014 20:15;0,21;;0,47;;2640;;2,5;;
Do., 17.Apr. 2014 20:30;0,57;;0,89;;2620;;2,49;;
Do., 17.Apr. 2014 20:45;0,25;;0,48;;2600;;2,53;;
Do., 17.Apr. 2014 21:00;0,2;;0,42;;2650;;2,5;;
Do., 17.Apr. 2014 21:15;0,15;;0,42;;2650;;2,5;;
Do., 17.Apr. 2014 21:30;0,15;;0,41;;2660;;2,5;;
Do., 17.Apr. 2014 21:45;0,16;;0,44;;2640;;2,5;;
Do., 17.Apr. 2014 22:00;0,2;;0,44;;2660;;2,49;;
Do., 17.Apr. 2014 22:15;0,19;;0,46;;2610;;2,53;;
Do., 17.Apr. 2014 22:30;0,16;;0,43;;2710;;2,5;;
Do., 17.Apr. 2014 22:45;0,15;;0,42;;2600;;2,5;;
Do., 17.Apr. 2014 23:00;0,16;;0,42;;2630;;2,5;;
Do., 17.Apr. 2014 23:15;0,18;;0,41;;2630;;2,5;;
Do., 17.Apr. 2014 23:30;0,18;;0,45;;2580;;2,5;;
Do., 17.Apr. 2014 23:45;0,19;;0,44;;2610;;2,49;;
Fr., 18.Apr. 2014 00:00;0,27;;0,44;;2610;;2,5;;
Fr., 18.Apr. 2014 00:15;0,18;;0,44;;2670;;2,52;;
Fr., 18.Apr. 2014 00:30;0,18;;0,42;;2640;;2,5;;
Fr., 18.Apr. 2014 00:45;0,17;;0,42;;2620;;2,51;;
Fr., 18.Apr. 2014 01:00;0,19;;0,43;;2630;;2,51;;
Fr., 18.Apr. 2014 01:15;0,16;;0,48;;2640;;2,51;;
Fr., 18.Apr. 2014 01:30;0,16;;0,51;;2610;;2,51;;
Fr., 18.Apr. 2014 01:45;0,18;;0,43;;2640;;2,5;;
Fr., 18.Apr. 2014 02:00;0,16;;0,42;;2600;;2,49;;
Fr., 18.Apr. 2014 02:15;0,2;;0,41;;2600;;2,51;;
Fr., 18.Apr. 2014 02:30;0,18;;0,41;;2590;;2,49;;
Fr., 18.Apr. 2014 02:45;0,16;;0,48;;2620;;2,52;;
Fr., 18.Apr. 2014 03:00;0,18;;0,44;;2630;;2,5;;
Fr., 18.Apr. 2014 03:15;0,16;;0,44;;2690;;2,5;;
Fr., 18.Apr. 2014 03:30;0,16;;0,42;;2580;;2,5;;
Fr., 18.Apr. 2014 03:45;0,15;;0,42;;2620;;2,5;;
Fr., 18.Apr. 2014 04:00;0,2;;0,41;;2620;;2,5;;
Fr., 18.Apr. 2014 04:15;0,19;;0,43;;2710;;2,5;;
Fr., 18.Apr. 2014 04:30;0,18;;0,44;;2630;;2,49;;
Fr., 18.Apr. 2014 04:45;0,16;;0,44;;2630;;2,53;;
Fr., 18.Apr. 2014 05:00;0,16;;0,43;;2620;;2,51;;
Fr., 18.Apr. 2014 05:15;0,16;;0,41;;2630;;2,49;;
Fr., 18.Apr. 2014 05:30;0,21;;0,42;;2620;;2,51;;
Fr., 18.Apr. 2014 05:45;0,16;;0,42;;2610;;2,49;;
Fr., 18.Apr. 2014 06:00;0,16;;0,44;;2660;;2,51;;
Fr., 18.Apr. 2014 06:15;0,22;;0,47;;2610;;2,5;;
Fr., 18.Apr. 2014 06:30;0,29;;0,46;;2650;;2,5;;
Fr., 18.Apr. 2014 06:45;0,28;;0,42;;2620;;2,5;;
Fr., 18.Apr. 2014 07:00;0,23;;0,41;;2640;;2,5;;
Fr., 18.Apr. 2014 07:15;0,22;;0,42;;2610;;2,5;;
Fr., 18.Apr. 2014 07:30;0,22;;0,44;;2620;;2,52;;
Fr., 18.Apr. 2014 07:45;0,23;;0,52;;2620;;2,49;;
Fr., 18.Apr. 2014 08:00;0,24;;0,45;;2640;;2,5;;
Fr., 18.Apr. 2014 08:15;0,27;;0,43;;2630;;2,5;;
Fr., 18.Apr. 2014 08:30;0,22;;0,43;;2590;;2,5;;
Fr., 18.Apr. 2014 08:45;0,22;;0,44;;2580;;2,52;;
Fr., 18.Apr. 2014 09:00;0,23;;0,42;;2610;;2,5;;
Fr., 18.Apr. 2014 09:15;0,24;;0,45;;2600;;2,5;;
Fr., 18.Apr. 2014 09:30;0,26;;0,45;;2630;;2,5;;
Fr., 18.Apr. 2014 09:45;0,26;;0,43;;2590;;2,5;;
Fr., 18.Apr. 2014 10:00;0,21;;0,42;;2580;;2,48;;
Fr., 18.Apr. 2014 10:15;0,22;;0,42;;2580;;2,5;;
Fr., 18.Apr. 2014 10:30;0,24;;0,42;;2580;;2,5;;
Fr., 18.Apr. 2014 10:45;0,23;;0,46;;2580;;2,5;;
Fr., 18.Apr. 2014 11:00;0,25;;0,45;;2620;;2,52;;
Fr., 18.Apr. 2014 11:15;0,22;;0,48;;2620;;2,5;;
Fr., 18.Apr. 2014 11:30;0,23;;0,42;;2590;;2,49;;
Fr., 18.Apr. 2014 11:45;0,23;;0,42;;2600;;2,5;;
Fr., 18.Apr. 2014 12:00;0,24;;0,42;;2600;;2,49;;
Fr., 18.Apr. 2014 12:15;0,22;;0,43;;2610;;2,5;;
Fr., 18.Apr. 2014 12:30;0,25;;0,45;;2660;;2,48;;
Fr., 18.Apr. 2014 12:45;0,22;;0,48;;2580;;2,49;;
Fr., 18.Apr. 2014 13:00;0,22;;0,42;;2570;;2,52;;
Fr., 18.Apr. 2014 13:15;0,24;;0,42;;2590;;2,48;;
Fr., 18.Apr. 2014 13:30;0,22;;0,42;;2630;;2,49;;
Fr., 18.Apr. 2014 13:45;0,25;;0,42;;2600;;2,49;;
Fr., 18.Apr. 2014 14:00;0,22;;0,45;;2580;;2,48;;
Fr., 18.Apr. 2014 14:15;0,22;;0,44;;2590;;2,49;;
Fr., 18.Apr. 2014 14:30;0,29;;0,45;;2590;;2,48;;
Fr., 18.Apr. 2014 14:45;0,22;;0,48;;2580;;2,49;;
Fr., 18.Apr. 2014 15:00;0,25;;0,42;;2590;;2,51;;
Fr., 18.Apr. 2014 15:15;0,22;;0,42;;2630;;2,49;;
Fr., 18.Apr. 2014 15:30;0,22;;0,43;;2570;;2,49;;
Fr., 18.Apr. 2014 15:45;0,24;;0,45;;2630;;2,48;;
Fr., 18.Apr. 2014 16:00;0,22;;0,48;;2590;;2,49;;
Fr., 18.Apr. 2014 16:15;0,22;;0,43;;2600;;2,48;;
Fr., 18.Apr. 2014 16:30;0,25;;0,44;;2620;;2,48;;
Fr., 18.Apr. 2014 16:45;0,24;;0,42;;2590;;2,49;;
Fr., 18.Apr. 2014 17:00;0,24;;0,42;;2610;;2,51;;
Fr., 18.Apr. 2014 17:15;0,22;;0,45;;2570;;2,48;;
Fr., 18.Apr. 2014 17:30;0,22;;0,45;;2590;;2,49;;
Fr., 18.Apr. 2014 17:45;0,26;;0,43;;2650;;2,49;;
Fr., 18.Apr. 2014 18:00;0,22;;0,42;;2620;;2,49;;
Fr., 18.Apr. 2014 18:15;0,24;;0,42;;2590;;2,51;;
Fr., 18.Apr. 2014 18:30;0,22;;0,42;;2630;;2,48;;
Fr., 18.Apr. 2014 18:45;0,22;;0,43;;2640;;2,49;;
Fr., 18.Apr. 2014 19:00;0,25;;0,43;;2600;;2,49;;
